Record Date,Securities Sold Count,Gross Sales Amount,Returned Sales Amount,Net Sales Amount,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2022-01-31,469779,3294873584.05,37934510.66,3256939073.39,2022,2,2022,1,01,31
2022-01-31,7947,1612662600.00,12842900.00,1599819700.00,2022,2,2022,1,01,31
2022-01-31,197,1084400.00,26200.00,1058200.00,2022,2,2022,1,01,31
2022-01-31,3511,157797600.00,4052500.00,153745100.00,2022,2,2022,1,01,31
2021-12-31,36713,20288043.00,358744.99,19929298.01,2022,1,2021,4,12,31
2021-12-31,436909,2836196839.39,59586762.88,2776610076.51,2022,1,2021,4,12,31
2021-12-31,7342,1541649600.00,17549600.00,1524100000.00,2022,1,2021,4,12,31
2021-12-31,232,1276200.00,45900.00,1230300.00,2022,1,2021,4,12,31
2021-12-31,3165,120951000.00,2417300.00,118533700.00,2022,1,2021,4,12,31
2021-11-30,21386,9936867.27,147014.99,9789852.28,2022,1,2021,4,11,30
2021-11-30,204130,1090839227.35,20872927.29,1069966300.06,2022,1,2021,4,11,30
2021-11-30,6841,1427395000.00,10599000.00,1416796000.00,2022,1,2021,4,11,30
2021-11-30,402,3563800.00,400.00,3563400.00,2022,1,2021,4,11,30
2021-11-30,3298,155452000.00,1143400.00,154308600.00,2022,1,2021,4,11,30
2021-10-31,19088,5267929.23,137371.97,5130557.26,2022,1,2021,4,10,31
2021-10-31,76641,236435362.82,3607174.33,232828188.49,2022,1,2021,4,10,31
2021-10-31,6254,1403025200.00,13986600.00,1389038600.00,2022,1,2021,4,10,31
2021-10-31,97,336500.00,505000.00,-168500.00,2022,1,2021,4,10,31
2021-10-31,1261,51590400.00,162500.00,51427900.00,2022,1,2021,4,10,31
2021-09-30,18684,5002287.39,197272.04,4805015.35,2021,4,2021,3,09,30
2021-09-30,51538,78413967.83,1089328.36,77324639.47,2021,4,2021,3,09,30
2021-09-30,6886,1416443100.00,8680700.00,1407762400.00,2021,4,2021,3,09,30
2021-09-30,207,1851400.00,503600.00,1347800.00,2021,4,2021,3,09,30
2021-09-30,1941,71387400.00,20200.00,71367200.00,2021,4,2021,3,09,30
2021-08-31,19287,5550488.93,235105.04,5315383.89,2021,4,2021,3,08,31
2021-08-31,56105,101793245.20,1603092.18,100190153.02,2021,4,2021,3,08,31
2021-08-31,7206,1487306900.00,5940500.00,1481366400.00,2021,4,2021,3,08,31
2021-08-31,538,4440100.00,900.00,4439200.00,2021,4,2021,3,08,31
2021-08-31,2812,109283300.00,612600.00,108670700.00,2021,4,2021,3,08,31
2021-07-31,19589,5928919.42,57495.34,5871424.08,2021,4,2021,3,07,31
2021-07-31,60253,135088979.40,2414766.14,132674213.26,2021,4,2021,3,07,31
2021-07-31,7439,1499613600.00,4075700.00,1495537900.00,2021,4,2021,3,07,31
2021-07-31,131,563000.00,1200.00,561800.00,2021,4,2021,3,07,31
